Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
24 William Berczy Blvd,https://www.zoocasa.com/markham-on-real-estate/24-william-berczy-blvd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,435,000","List Price$1,500,000",Sold 12 Days Ago,4 Bed,4 Bath,2000–2500 sqft
9 Castleview Cres,https://www.zoocasa.com/markham-on-real-estate/9-castleview-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,338,000","List Price$2,599,000",12 days ,5 Bed,5 Bath,3000–3500 sqft
812 - 396 Highway # 7 St E,https://www.zoocasa.com/richmond-hill-on-real-estate/812-396-hwy-7,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$638,800","List Price$598,000",17 days ,1 Bed,1 Bath,500–599 sqft
18 Roverdale Crt,https://www.zoocasa.com/markham-on-real-estate/18-roverdale-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,675,000","List Price$1,999,000",14 days ,4 Bed,4 Bath,N/A sqft
77 Castleglen Blvd,https://www.zoocasa.com/markham-on-real-estate/77-castleglen-blvd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,380,000","List Price$1,888,000",16 days ,4 Bed,5 Bath,3000–3500 sqft
142 Baywood Crt,https://www.zoocasa.com/markham-on-real-estate/142-baywood-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,515,000","List Price$1,268,800",Sold 16 Days Ago,3 Bed,4 Bath,N/A sqft
43 Nichols Blvd,https://www.zoocasa.com/markham-on-real-estate/43-nichols-blvd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F9a02886e-cb00-4cdd-972b-6d98b4699d5a.jpg&w=640&q=75,Sold,"$1,750,000","List Price$1,764,800",Sold 14 Days Ago,4 Bed,4 Bath,2000–2500 sqft
17 Barlow Rd,https://www.zoocasa.com/markham-on-real-estate/17-barlow-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc515a7bc-cf25-479d-b595-0e866153a649.jpg&w=640&q=75,Sold,"$1,871,888","List Price$1,890,000",13 days ,4 Bed,3 Bath,N/A sqft
86 Bedale Cres,https://www.zoocasa.com/markham-on-real-estate/86-bedale-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,200,000","List Price$998,000",Sold 17 Days Ago,3 Bed,3 Bath,N/A sqft
rg01 - 25 Water Walk Dr,https://www.zoocasa.com/markham-on-real-estate/rg01-25-water-walk-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fdfa7d990-d58a-4dc0-96f7-5e776ff90af4.jpg&w=640&q=75,Sold,"$720,000","List Price$649,000",13 days ,1 Bed,1 Bath,600–699 sqft
2745 Bur Oak Ave,https://www.zoocasa.com/markham-on-real-estate/2745-bur-oak-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F3257810a-93dc-4e27-9529-63c585821cf6.jpg&w=640&q=75,Sold,"$919,800","List Price$990,000",13 days ,2 Bed,3 Bath,N/A sqft
5 Windridge Dr,https://www.zoocasa.com/markham-on-real-estate/5-windridge-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,780,000","List Price$1,288,000",16 days ,3 Bed,2 Bath,N/A sqft
39 Sir Lancelot Dr,https://www.zoocasa.com/markham-on-real-estate/39-sir-lancelot-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fa0ccbaa4-215f-461f-af64-83331673de81.jpg&w=640&q=75,Sold,"$1,999,000","List Price$2,175,000",13 days ,4 Bed,4 Bath,N/A sqft
60 Gowland Rd,https://www.zoocasa.com/markham-on-real-estate/60-gowland-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,325,000","List Price$1,350,000",17 days ,3 Bed,3 Bath,1500–2000 sqft
5 Stackstone Rd,https://www.zoocasa.com/markham-on-real-estate/5-stackstone-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F377c5c07-39af-402f-b28e-90f0c71ccaeb.jpg&w=640&q=75,Sold,"$1,558,000","List Price$1,680,000",Sold 13 Days Ago,4 Bed,4 Bath,2000–2500 sqft
29 Cavalry Tr,https://www.zoocasa.com/markham-on-real-estate/29-cavalry-trail,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F5f6816d6-9751-4b86-87f1-d6a954e8183f.jpg&w=640&q=75,Sold,"$1,693,000","List Price$1,699,000",13 days ,4 Bed,4 Bath,2500–3000 sqft
11 Wendover Crt,https://www.zoocasa.com/richmond-hill-on-real-estate/11-wendover-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$3,158,000","List Price$2,988,000",Sold 16 Days Ago,4 Bed,6 Bath,3500–5000 sqft
20 Mcclary's Way,https://www.zoocasa.com/markham-on-real-estate/20-mcclarys-way,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F2df3d08c-6df7-46f6-998a-b98629ecce0c.jpg&w=640&q=75,Sold,"$1,538,000","List Price$1,588,000",12 days ,3 Bed,4 Bath,2000–2500 sqft
159 Goldenwood Cres,https://www.zoocasa.com/markham-on-real-estate/159-goldenwood-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,768,000","List Price$1,799,000",16 days ,4 Bed,3 Bath,N/A sqft
