Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
1506 - 44 Falby Crt,https://www.zoocasa.com/ajax-on-real-estate/1506-44-falby-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$691,000","List Price$499,000",Sold 18 Days Ago,2 Bed,2 Bath,1000–1199 sqft
110 Handley Cres,https://www.zoocasa.com/ajax-on-real-estate/110-handley-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8f40a94b-4e5f-454f-8427-8b9477ba8f14.jpg&w=640&q=75,Sold,"$1,415,000","List Price$1,089,000",Sold 17 Days Ago,4 Bed,3 Bath,2000–2500 sqft
114 Kearney Dr,https://www.zoocasa.com/ajax-on-real-estate/114-kearney-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,375,000","List Price$1,199,000",18 days ,4 Bed,3 Bath,N/A sqft
13 Andrea Rd,https://www.zoocasa.com/ajax-on-real-estate/13-andrea-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$935,000","List Price$799,900",Sold 19 Days Ago,3 Bed,3 Bath,N/A sqft
25 Hornett Way,https://www.zoocasa.com/ajax-on-real-estate/25-hornett-way,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,300,000","List Price$999,000",20 days ,4 Bed,3 Bath,1500–2000 sqft
5 Graywardine Lane,https://www.zoocasa.com/ajax-on-real-estate/5-graywardine-ln,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$950,000","List Price$799,900",20 days ,3 Bed,4 Bath,N/A sqft
37 Barnes Dr,https://www.zoocasa.com/ajax-on-real-estate/37-barnes-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$915,000","List Price$829,000",20 days ,3 Bed,3 Bath,N/A sqft
19 Burrells Rd,https://www.zoocasa.com/ajax-on-real-estate/19-burrells-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,266,000","List Price$995,000",Sold 20 Days Ago,3 Bed,2 Bath,N/A sqft
41 Root Cres,https://www.zoocasa.com/ajax-on-real-estate/41-root-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F87fed787-6627-4d53-94c5-68ed41a3258f.jpg&w=640&q=75,Sold,"$925,000","List Price$850,000",20 days ,3 Bed,3 Bath,N/A sqft
23 Haskell Ave,https://www.zoocasa.com/ajax-on-real-estate/23-haskell-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,361,000","List Price$1,089,500",Sold 24 Days Ago,3 Bed,3 Bath,N/A sqft
20 Howlett Cres,https://www.zoocasa.com/ajax-on-real-estate/20-howlett-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$945,000","List Price$849,900",25 days ,3 Bed,2 Bath,N/A sqft
2 Linnell St,https://www.zoocasa.com/ajax-on-real-estate/2-linnell-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F6f25b937-e6ea-45af-b026-2638a4e7bd94.jpg&w=640&q=75,Sold,"$971,000","List Price$849,900",20 days ,3 Bed,4 Bath,1500–2000 sqft
102 - 191 Lake Driveway Way W,https://www.zoocasa.com/ajax-on-real-estate/102-191-lake-driveway-w,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F519c927a-2058-48a3-9a69-ac719bcc555c.jpg&w=640&q=75,Sold,"$585,102","List Price$449,990",20 days ,1 Bed,1 Bath,700–799 sqft
