Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
654 Annapolis Ave,https://www.zoocasa.com/oshawa-on-real-estate/654-annapolis-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8988b7de-e6b5-4d4f-a7cc-e285214e4eb1.jpg&w=640&q=75,Sold,"$1,071,100","List Price$799,999",Sold 5 Days Ago,3 Bed,4 Bath,1100–1500 sqft
125 Cottingham Cres,https://www.zoocasa.com/oshawa-on-real-estate/125-cottingham-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$764,000","List Price$749,024",Sold 5 Days Ago,2 Bed,2 Bath,N/A sqft
1770 Edenwood Dr,https://www.zoocasa.com/oshawa-on-real-estate/1770-edenwood-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,200,000","List Price$990,000",6 days ,3 Bed,3 Bath,N/A sqft
237 Ascot Crt,https://www.zoocasa.com/oshawa-on-real-estate/237-ascot-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$860,000","List Price$729,000",Sold 6 Days Ago,4 Bed,2 Bath,N/A sqft
154 Hillcroft St,https://www.zoocasa.com/oshawa-on-real-estate/154-hillcroft-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$702,000","List Price$499,900",6 days ,2 Bed,2 Bath,N/A sqft
565 Lancelot Cres,https://www.zoocasa.com/oshawa-on-real-estate/565-lancelot-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$700,000","List Price$549,900",6 days ,3 Bed,1 Bath,N/A sqft
20 - 1055 Central Park Blvd N,https://www.zoocasa.com/oshawa-on-real-estate/20-1055-central-park-blvd-n,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fe6bd4d05-f86e-4200-8950-3ad2b622527f.jpg&w=640&q=75,Sold,"$650,000","List Price$449,900",6 days ,3 Bed,2 Bath,1000–1199 sqft
16 - 1133 Ritson Rd N,https://www.zoocasa.com/oshawa-on-real-estate/16-1133-ritson-rd-n,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fa529f480-c4be-4765-af00-79b367c87273.jpg&w=640&q=75,Sold,"$710,000","List Price$549,000",8 days ,3 Bed,2 Bath,1200–1399 sqft
926 Gentry Cres,https://www.zoocasa.com/oshawa-on-real-estate/926-gentry-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd9b8ecb6-7783-42ba-ae59-191e1516db24.jpg&w=640&q=75,Sold,"$800,000","List Price$589,000",6 days ,3 Bed,2 Bath,N/A sqft
1761 Western Cres,https://www.zoocasa.com/oshawa-on-real-estate/1761-western-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc3ae6c5a-ff49-428c-8790-d6aea5e9bceb.jpg&w=640&q=75,Sold,"$1,250,000","List Price$1,275,000",8 days ,3 Bed,4 Bath,N/A sqft
